query,gpfm,hoptimus0,virchow,virchow2
gpfm,1.0,0.9936,0.9968,0.9974
hoptimus0,0.9956,1.0,0.9938,0.9956
virchow,0.997,0.9916,1.0,0.9964
virchow2,0.9978,0.9922,0.9956,1.0
