query,gpfm,hoptimus0,virchow,virchow2
gpfm,1.0,0.6038,0.47,0.4358
hoptimus0,0.6386,1.0,0.5418,0.5018
virchow,0.3802,0.4508,1.0,0.3544
virchow2,0.4764,0.5406,0.4406,1.0
