component,eigenvalue,view_agreement
0,1.985061300560797,0.9850613005607971
1,1.9765392219739064,0.9765392219739064
2,1.96794598664965,0.96794598664965
3,1.9485254562213974,0.9485254562213974
4,1.928632460912417,0.928632460912417
5,1.923366733555384,0.9233667335553839
6,1.9209832666213804,0.9209832666213804
7,1.9090544005538526,0.9090544005538526
8,1.9038109481758951,0.9038109481758951
9,1.8913112120811313,0.8913112120811313
10,1.8834653586306667,0.8834653586306667
11,1.8678762657346244,0.8678762657346244
12,1.857133754599926,0.857133754599926
13,1.8412641540674084,0.8412641540674084
14,1.82352115691701,0.82352115691701
15,1.8221450370060388,0.8221450370060388
16,1.8138283984084984,0.8138283984084984
17,1.8077045888421897,0.8077045888421897
18,1.7899207674164836,0.7899207674164836
19,1.7827238735273032,0.7827238735273032
20,1.7738069210847278,0.7738069210847278
21,1.76321868816407,0.7632186881640699
22,1.7551369343446246,0.7551369343446246
23,1.740953487859212,0.7409534878592119
24,1.7343613595967418,0.7343613595967418
25,1.7203419073239163,0.7203419073239163
26,1.7133561061980647,0.7133561061980647
27,1.709441404848555,0.7094414048485549
28,1.70573665455051,0.7057366545505099
29,1.694006103990082,0.694006103990082
30,1.687420166901575,0.6874201669015749
31,1.685261251325306,0.685261251325306
32,1.6612369135917295,0.6612369135917295
33,1.657812916968532,0.6578129169685321
34,1.6463059458909035,0.6463059458909035
35,1.6233084548319314,0.6233084548319314
36,1.6185715158366627,0.6185715158366627
37,1.6152368472355951,0.6152368472355951
38,1.5977015240862424,0.5977015240862424
39,1.5953497516333877,0.5953497516333877
40,1.5941027098387508,0.5941027098387508
41,1.577366661254857,0.5773666612548569
42,1.5644947342484405,0.5644947342484405
43,1.5575056201987965,0.5575056201987965
44,1.5529717070667772,0.5529717070667772
45,1.542332666663562,0.542332666663562
46,1.5311933735812764,0.5311933735812764
47,1.523823671776844,0.5238236717768441
48,1.513308144336641,0.513308144336641
49,1.5061398649510165,0.5061398649510165
50,1.4881647755339962,0.4881647755339962
51,1.4840048309428322,0.4840048309428322
52,1.4786231185968735,0.47862311859687345
53,1.4772184485074715,0.4772184485074715
54,1.4710601183919667,0.4710601183919667
55,1.4566218638710107,0.45662186387101067
56,1.452422523690103,0.45242252369010294
57,1.4470045293727116,0.4470045293727116
58,1.4366709344212707,0.4366709344212707
59,1.431845953925502,0.43184595392550196
60,1.4179189499266245,0.4179189499266245
61,1.4065991149913757,0.4065991149913757
62,1.4001323052679542,0.4001323052679542
63,1.3970140705049705,0.3970140705049705
