set,kind,subcohort,slides,encoders,linear_cka,kernel_cka,svcca,pwcca,procrustes,cosine_rsa,distance_correlation
cptac_benchmark_20x_256px,patch encoders,CPTAC-LUAD,1139,5,0.5523787013068976,0.5815666794037423,0.5624003586425514,0.6694711662543502,0.5957371335787861,0.5279603379438164,0.7578068701036166
cptac_benchmark_20x_512px,patch encoders,CPTAC-BRCA,654,2,0.820556932111877,0.8288454985911382,0.5434795844630707,0.6610025975677073,0.7244947051423797,0.8119256659226304,0.9098462528889896
cptac_benchmark_20x_512px,patch encoders,CPTAC-COAD,369,2,0.8118778418645208,0.8241428372014094,0.5527088393807559,0.667262216217666,0.7442515701684033,0.8006630086727216,0.9074848498285505
cptac_benchmark_20x_512px,patch encoders,CPTAC-LUAD,1139,2,0.8561085948460141,0.8669867473135516,0.55938406149853,0.6916961147725091,0.774255412460567,0.8536732607412844,0.9309015994174025
cptac_benchmark_5x_224px,patch encoders,CPTAC-BRCA,654,3,0.5712345249046249,0.6074940556445704,0.5851747898071143,0.83142004023848,0.7217290370300272,0.5647376440573301,0.7728747103269556
cptac_benchmark_5x_224px,patch encoders,CPTAC-COAD,369,3,0.5591670621378245,0.6094715583284244,0.5875856341409214,0.8358681546128385,0.7173574125849501,0.5653376044301602,0.7714511443872926
cptac_benchmark_5x_224px,patch encoders,CPTAC-LUAD,1139,3,0.5660364130410204,0.606247887455252,0.6003340991239917,0.839863445053652,0.7162856570598631,0.5440342098879835,0.7732319198494996
cptac_benchmark_5x_256px,patch encoders,CPTAC-BRCA,654,5,0.7241980363144572,0.7364128350463661,0.5635818678588062,0.6780581851280908,0.6651725131241608,0.7225639636472165,0.8570675796802198
cptac_benchmark_5x_256px,patch encoders,CPTAC-COAD,369,5,0.7166543703330401,0.729830686090119,0.5610247956777185,0.678644327468238,0.6675142850486762,0.7035957947813538,0.8529175067441415
cptac_benchmark_5x_256px,patch encoders,CPTAC-LUAD,1139,5,0.6127012119387902,0.641582503972824,0.5782600921736274,0.6883631882731394,0.6502948724088522,0.5980850651460872,0.7984444156337813
cptac_benchmark_5x_512px,patch encoders,CPTAC-BRCA,654,2,0.8261898151890863,0.8324025384235361,0.5406018756143223,0.6567219208780989,0.7297183502202107,0.8160054351744337,0.911413092282103
cptac_benchmark_5x_512px,patch encoders,CPTAC-COAD,369,2,0.849317754644134,0.8532145650504325,0.5454336438263666,0.6615326929755063,0.7580857127966406,0.8401629881240756,0.9230988624625833
cptac_benchmark_5x_512px,patch encoders,CPTAC-LUAD,1139,2,0.8752158219583239,0.8839103551499407,0.5597707902080382,0.688081208526798,0.7858145790305794,0.8690738922505058,0.93983370499007
master_benchmark_10x_224px,patch encoders,TCGA-BRCA,1126,3,0.5649124386120411,0.6014748720448163,0.6195076557250089,0.8391437159268209,0.7111999827832012,0.5485782500648196,0.7649750969497755
master_benchmark_10x_224px,patch encoders,TCGA-LUAD,531,3,0.5506815258754015,0.5888063261488165,0.6141879545160484,0.8379439447469633,0.7136370544920383,0.5054791440692986,0.7604244211387662
master_benchmark_10x_224px,patch encoders,TCGA-LUSC,512,3,0.5148963088405761,0.552937005378794,0.6124339536968081,0.836565877233277,0.7038048533021888,0.48195821707854,0.734430316491952
master_benchmark_10x_256px,patch encoders,TCGA-BRCA,1126,6,0.7278028065925919,0.7459738793836765,0.6216424838719302,0.6985789106548452,0.638285406159262,0.7188502611867416,0.865130501801964
master_benchmark_10x_256px,patch encoders,TCGA-LUAD,531,6,0.5921383850998801,0.6186477661353191,0.6091525997201888,0.6892487756251507,0.6100653570439316,0.5567838500868618,0.7851313877083755
master_benchmark_10x_256px,patch encoders,TCGA-LUSC,512,6,0.59936166648766,0.6214347141212371,0.6064956888481299,0.6865620327884899,0.6050956274575331,0.5685555892138857,0.786625999579483
master_benchmark_10x_512px,patch encoders,TCGA-BRCA,1126,2,0.8880145775590657,0.8995525557686984,0.5853116901314639,0.699545511081247,0.7950367093447908,0.8987592644087221,0.9489359767501978
master_benchmark_10x_512px,patch encoders,TCGA-LUAD,531,2,0.8303185332440064,0.8396712963249611,0.5571564845289415,0.6871601219388772,0.7703680043951905,0.8174382247765659,0.9163607885494194
master_benchmark_10x_512px,patch encoders,TCGA-LUSC,512,2,0.8522936096519292,0.8595936623962662,0.5671950731606243,0.6843152268572918,0.7760429008764861,0.8481341382425371,0.9269467695572801
master_benchmark_20x_224px,patch encoders,TCGA-BRCA,1126,4,0.5065301221004231,0.5442388553360301,0.6176027337096467,0.8424705957815593,0.6836850367829146,0.4972667765183278,0.7333757489049878
master_benchmark_20x_224px,patch encoders,TCGA-LUAD,531,4,0.4720253693945306,0.4972912322980451,0.6140045752614277,0.8442680055940094,0.6740188365315177,0.41670633457833955,0.7005040981556095
master_benchmark_20x_224px,patch encoders,TCGA-LUSC,512,4,0.4342413560329124,0.45964556821811847,0.6113253251922316,0.8424062154894759,0.668812572972456,0.3865595863978948,0.6714720381017875
master_benchmark_20x_512px,patch encoders,TCGA-BRCA,1126,2,0.8767838713510664,0.8892408646629023,0.5805272844936782,0.6958674249006869,0.7810521954301851,0.8868209321506154,0.9437358395451195
master_benchmark_20x_512px,patch encoders,TCGA-LUAD,531,2,0.8289818633684907,0.8389702497822905,0.5510199861865064,0.6882591840976258,0.7662538360931931,0.8168879923156946,0.9161138197760306
master_benchmark_20x_512px,patch encoders,TCGA-LUSC,512,2,0.8363793878046785,0.8461714060294003,0.5650260032835337,0.6858184459884329,0.767807572582111,0.8274069291684655,0.9199278938441836
master_benchmark_5x_224px,patch encoders,TCGA-BRCA,1126,3,0.5498678166699739,0.5869514526026812,0.6028644258111586,0.8391576823895172,0.7133278258040873,0.5505678874545028,0.7539742257177587
master_benchmark_5x_224px,patch encoders,TCGA-LUAD,531,3,0.537277902835458,0.5760233887447455,0.590375074092128,0.8362811717441171,0.707399572176456,0.4918160188504785,0.7513872561671774
master_benchmark_5x_224px,patch encoders,TCGA-LUSC,512,3,0.5130530129648017,0.5517911900213818,0.5910043283504066,0.8337816688064543,0.6946947158190481,0.4891473056131698,0.73278891998979
master_benchmark_5x_256px,patch encoders,TCGA-BRCA,1126,5,0.7558475153314378,0.7768463794890967,0.5940321164435876,0.6974247244087369,0.6758536984538985,0.754658974150715,0.8823048079497298
master_benchmark_5x_256px,patch encoders,TCGA-LUAD,531,5,0.6106226144016161,0.6357723287300124,0.5818057202727369,0.6860874916293446,0.6412490353528757,0.5802568846348146,0.795413032336933
master_benchmark_5x_256px,patch encoders,TCGA-LUSC,512,5,0.6124906230680602,0.6381980845197928,0.577123740894873,0.6813049056756791,0.6347090002054495,0.5956135098018462,0.7954510913491581
slide_encoders_cptac_benchmark,slide encoders,CPTAC-BRCA,654,6,0.5500132207804149,0.58588810807708,0.7024223015909068,0.9944895831572694,0.6739859072295271,0.5252078960162276,0.7565731823531201
slide_encoders_cptac_benchmark,slide encoders,CPTAC-COAD,369,6,0.5114993286177737,0.5399963073224184,0.7495705185680659,0.9999999999999998,0.6958778753816585,0.47025576122677043,0.7176987376075171
slide_encoders_cptac_benchmark,slide encoders,CPTAC-LUAD,1139,6,0.6392653653209913,0.681978178778964,0.6701041338878998,0.942671432925779,0.7017638511269632,0.6735387272926981,0.8240444690045334
slide_encoders_master_benchmark,slide encoders,TCGA-BRCA,1126,6,0.4397606395426436,0.4657977959723108,0.6537178137727523,0.930681164352404,0.627428202815744,0.4005542042863255,0.6679014749359449
slide_encoders_master_benchmark,slide encoders,TCGA-LUAD,531,6,0.45764378804672723,0.4914490737883859,0.7311976456278839,0.9990992407108517,0.6609680310334926,0.44345058104203433,0.6800471269481765
slide_encoders_master_benchmark,slide encoders,TCGA-LUSC,512,6,0.3780393213927669,0.4162677830358169,0.7200692732215627,0.9999999999999998,0.6314061678084291,0.35762787977049526,0.6160780692074874
