query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,1.0,0.9522,0.9516,0.938,0.7942,0.9736
ctranspath,0.939,1.0,0.9584,0.9244,0.925,0.974
gigapath,0.9326,0.9512,0.9998,0.9106,0.868,0.9704
keep,0.939,0.9406,0.9376,1.0,0.7308,0.9796
resnet50,0.7586,0.9118,0.8674,0.7104,1.0,0.846
uni_v2,0.9574,0.9704,0.9728,0.963,0.8538,1.0
