query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,1.0,0.6044,0.7242,0.5996,0.3768,0.7672
ctranspath,0.6046,1.0,0.8732,0.6336,0.8328,0.889
gigapath,0.584,0.7802,0.9998,0.6308,0.6246,0.9052
keep,0.5754,0.5942,0.722,1.0,0.339,0.8068
resnet50,0.3284,0.7414,0.6726,0.3404,1.0,0.6104
uni_v2,0.6302,0.796,0.9084,0.7222,0.5752,1.0
