query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,1.0,0.7838,0.7386,0.6824,0.468,0.7416
ctranspath,0.7812,1.0,0.8226,0.7152,0.789,0.8068
gigapath,0.6974,0.7868,0.9998,0.6722,0.5352,0.8564
keep,0.6596,0.7032,0.6854,1.0,0.3532,0.7632
resnet50,0.43,0.7506,0.5118,0.3386,1.0,0.416
uni_v2,0.6722,0.7514,0.8416,0.7226,0.4332,1.0
