query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,1.0,0.9512,0.9468,0.9232,0.8216,0.9648
ctranspath,0.9374,1.0,0.9684,0.9402,0.9522,0.9804
gigapath,0.926,0.9642,0.9998,0.9198,0.9178,0.9772
keep,0.925,0.9532,0.943,1.0,0.8044,0.977
resnet50,0.8172,0.9456,0.9272,0.8026,1.0,0.918
uni_v2,0.9484,0.9796,0.979,0.9598,0.9074,1.0
