condition,recall@1,recall@5,recall@10,map,mrr,median_rank,ndcg,n_query,n_database
gcca,0.9248666666666666,0.98606,0.9936133333333333,0.9523572097943614,0.9523572097943614,1.0,0.9638397178237298,5000.0,5000.0
joint_pca,0.90708,0.9760933333333334,0.9870933333333334,0.937993710655682,0.937993710655682,1.0,0.9525010200458927,5000.0,5000.0
mcca,0.6522,0.8778333333333334,0.9295133333333333,0.7519386727535815,0.7519386727535815,1.2666666666666666,0.8080866060056564,5000.0,5000.0
autoencoder,0.6518933333333333,0.87256,0.9234866666666667,0.7495445912790362,0.7495445912790362,1.2333333333333334,0.8056494807038813,5000.0,5000.0
procrustes,0.3080133333333333,0.5657466666666667,0.6708200000000001,0.4289501948912883,0.4289501948912883,7.533333333333333,0.541482433935914,5000.0,5000.0
unaligned_pca,0.00034,0.0013933333333333332,0.0028,0.0023961301867340555,0.0023961301867340555,2373.116666666667,0.09687152039744523,5000.0,5000.0
unaligned_truncate,0.00019333333333333336,0.00096,0.002,0.0017729552395284996,0.0017729552395284996,2534.266666666667,0.09460358218801629,5000.0,5000.0
