query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,1.0,0.303,0.2722,0.3544,0.0996,0.3058
ctranspath,0.3782,1.0,0.5672,0.3276,0.6208,0.5174
gigapath,0.2688,0.4884,0.9994,0.2618,0.1646,0.5718
keep,0.3434,0.2432,0.2478,1.0,0.069,0.3442
resnet50,0.0896,0.5276,0.168,0.0758,1.0,0.1256
uni_v2,0.2616,0.3618,0.4912,0.2838,0.1062,1.0
