,gpfm,hoptimus0,virchow2
gpfm,1.0,0.7834798806084448,0.7054135615007313
hoptimus0,0.7834798806084448,1.0,0.7123137114573108
virchow2,0.7054135615007313,0.7123137114573108,1.0
