,gpfm,hoptimus0,virchow2
gpfm,1.0,0.7000657098553694,0.4629023827365875
hoptimus0,0.7000657098553694,1.0,0.4528615773259794
virchow2,0.4629023827365875,0.4528615773259794,1.0
