source,gpfm,hoptimus0,virchow,virchow2
gpfm,0.8938,0.4228,0.503,0.4524
hoptimus0,0.7026,0.6244,0.5064,0.4564
virchow,0.702,0.4202,0.7602,0.483
virchow2,0.732,0.4336,0.525,0.894
