source,gpfm,hoptimus0,virchow,virchow2
gpfm,0.7728080771259636,0.6976012450455094,0.8995536894220634,0.8017139703219271
hoptimus0,0.7186631927538695,0.7482211172679324,0.9010908155263713,0.8097353865439001
virchow,0.718079151704994,0.7029042556871968,0.9331895016727275,0.813635002866706
virchow2,0.7169016531604315,0.6995302267056899,0.9010680787668074,0.8941638697591695
