kind,cosine,r2,nmse,retrieval_recall@1,retrieval_recall@5,retrieval_recall@10,retrieval_map,retrieval_mrr,retrieval_median_rank,retrieval_ndcg,retrieval_n_query,retrieval_n_database
cross_model,0.7817063890421222,0.5123276969506348,0.4876723030493651,0.5282833333333333,0.7439333333333332,0.8078500000000001,0.6263692281326566,0.6263692281326566,1.5,0.700841645216879,5000.0,5000.0
self_roundtrip,0.8370956414564482,0.6418227617317878,0.35817723826821224,0.7931,0.9244,0.9517,0.8511783564624206,0.8511783564624206,1.0,0.8841924032439028,5000.0,5000.0
