source,target,self,cosine,r2,nmse,retrieval_recall@1,retrieval_recall@5,retrieval_recall@10,retrieval_map,retrieval_mrr,retrieval_median_rank,retrieval_ndcg,retrieval_n_query,retrieval_n_database
gpfm,hoptimus0,False,0.6976012450455094,0.4327218616249765,0.5672781383750235,0.4228,0.693,0.7718,0.5444061396188894,0.5444061396188894,2.0,0.6362586000389799,5000.0,5000.0
gpfm,virchow,False,0.8995536894220634,0.6220034032472618,0.3779965967527382,0.503,0.6916,0.7616,0.5924566600188378,0.5924566600188378,1.0,0.6706112661097378,5000.0,5000.0
gpfm,virchow2,False,0.8017139703219271,0.5002773797084197,0.4997226202915804,0.4524,0.6608,0.7332,0.5494370852228699,0.5494370852228699,2.0,0.6344292583779916,5000.0,5000.0
hoptimus0,gpfm,False,0.7186631927538695,0.47006713131100397,0.529932868688996,0.7026,0.9106,0.9482,0.7953666920045044,0.7953666920045044,1.0,0.8423749017385922,5000.0,5000.0
hoptimus0,virchow,False,0.9010908155263713,0.6300352751401517,0.3699647248598484,0.5064,0.6926,0.7636,0.5944206936179989,0.5944206936179989,1.0,0.672428662494749,5000.0,5000.0
hoptimus0,virchow2,False,0.8097353865439001,0.5231492315231736,0.4768507684768264,0.4564,0.6588,0.7284,0.5493863952670313,0.5493863952670313,2.0,0.6340573594474527,5000.0,5000.0
virchow,gpfm,False,0.718079151704994,0.47036151946405946,0.5296384805359405,0.702,0.9136,0.9488,0.7936132375223546,0.7936132375223546,1.0,0.8411191990461236,5000.0,5000.0
virchow,hoptimus0,False,0.7029042556871968,0.440172453994097,0.559827546005903,0.4202,0.6784,0.7646,0.5363328457342437,0.5363328457342437,2.0,0.6289007807577263,5000.0,5000.0
virchow,virchow2,False,0.813635002866706,0.525066345219618,0.47493365478038196,0.483,0.6856,0.756,0.576314460945599,0.576314460945599,2.0,0.657933888394749,5000.0,5000.0
virchow2,gpfm,False,0.7169016531604315,0.4677300660932254,0.5322699339067746,0.732,0.925,0.9568,0.8168051545252633,0.8168051545252633,1.0,0.8591690607517947,5000.0,5000.0
virchow2,hoptimus0,False,0.6995302267056899,0.4379034488459769,0.5620965511540231,0.4336,0.696,0.7702,0.550880287596144,0.550880287596144,2.0,0.6404929367029544,5000.0,5000.0
virchow2,virchow,False,0.9010680787668074,0.6284442472356548,0.37155575276434516,0.525,0.7212,0.791,0.6170110855181438,0.6170110855181438,1.0,0.6923238287416964,5000.0,5000.0
gpfm,gpfm,True,0.7728080771259636,0.5627133139371475,0.4372866860628525,0.8938,0.9736,0.9836,0.9293284889799881,0.9293284889799881,1.0,0.9457843905290956,5000.0,5000.0
hoptimus0,hoptimus0,True,0.7482211172679324,0.5209544420166468,0.4790455579833532,0.6244,0.8418,0.899,0.7207759291544887,0.7207759291544887,1.0,0.7816996865680435,5000.0,5000.0
virchow,virchow,True,0.9331895016727275,0.7508334090245301,0.24916659097546984,0.7602,0.9056,0.9358,0.8243875532215444,0.8243875532215444,1.0,0.8625078472088779,5000.0,5000.0
virchow2,virchow2,True,0.8941638697591695,0.7327898819488265,0.2672101180511735,0.894,0.9766,0.9884,0.9302214544936611,0.9302214544936611,1.0,0.9467776886695941,5000.0,5000.0
