component,eigenvalue,view_agreement
0,2.996959080053349,0.9989863600177831
1,2.994288108493249,0.9980960361644163
2,2.9932213432115673,0.9977404477371891
3,2.991794774598296,0.9972649248660986
4,2.990851073026326,0.996950357675442
5,2.9880958152253547,0.9960319384084516
6,2.986243941990958,0.9954146473303194
7,2.9833545600074887,0.9944515200024963
8,2.9820885695517183,0.9940295231839061
9,2.980172281879732,0.9933907606265774
10,2.9787204477079294,0.9929068159026432
11,2.97760308839726,0.9925343627990867
12,2.976367706625277,0.9921225688750924
13,2.974815094758626,0.9916050315862086
14,2.973500991616321,0.9911669972054403
15,2.9716654371349733,0.9905551457116578
16,2.970101159124669,0.9900337197082231
17,2.9685813029195973,0.9895271009731991
18,2.9662424872356317,0.9887474957452106
19,2.9647752278918973,0.9882584092972991
20,2.9633154193099513,0.9877718064366504
21,2.962490062115692,0.9874966873718973
22,2.960517134692541,0.9868390448975136
23,2.9585230553261628,0.9861743517753876
24,2.9567098721176848,0.9855699573725616
25,2.956515753461426,0.9855052511538087
26,2.953227469200873,0.9844091564002909
27,2.9524624341521597,0.9841541447173866
28,2.9497869440764486,0.9832623146921495
29,2.947671637184076,0.982557212394692
30,2.9463653559824876,0.9821217853274958
31,2.9445074069016055,0.9815024689672018
32,2.9438165679256376,0.9812721893085459
33,2.9417577624073936,0.9805859208024645
34,2.9405778352218714,0.9801926117406238
35,2.9380884378695895,0.9793628126231965
36,2.937170777424964,0.9790569258083214
37,2.9360747560878164,0.9786915853626055
38,2.933903146050603,0.977967715350201
39,2.9326348106446027,0.9775449368815342
40,2.9317117535873516,0.9772372511957839
41,2.930158230222611,0.9767194100742036
42,2.928852051930602,0.9762840173102006
43,2.926293649515767,0.9754312165052558
44,2.9246044630917933,0.9748681543639311
45,2.9220449651961933,0.9740149883987311
46,2.9211169174863305,0.9737056391621102
47,2.9152273781645,0.9717424593881666
48,2.914363813608299,0.9714546045360998
49,2.912640624091548,0.970880208030516
50,2.9116948582133486,0.9705649527377829
51,2.911061244605057,0.9703537482016857
52,2.909381406218512,0.9697938020728373
53,2.9071480429335383,0.9690493476445128
54,2.9056782991742054,0.9685594330580685
55,2.903314101139326,0.9677713670464421
56,2.902370173122835,0.9674567243742783
57,2.9014530487140084,0.9671510162380028
58,2.8984150699759104,0.9661383566586368
59,2.897711650923624,0.965903883641208
60,2.8954008733803227,0.9651336244601075
61,2.894524991835419,0.9648416639451396
62,2.8917115067615535,0.9639038355871845
63,2.890983560759506,0.9636611869198353
