,conch_v1,ctranspath,gigapath,resnet50,uni_v2
conch_v1,1.0,0.8989717167156763,0.9064140422129001,0.8836711543463686,0.910183040143195
ctranspath,0.8989717167156763,1.0,0.933629981383398,0.933252455535564,0.9333307638508903
gigapath,0.9064140422129001,0.933629981383398,1.0,0.9244790477640086,0.9499332008145764
resnet50,0.8836711543463686,0.933252455535564,0.9244790477640086,1.0,0.9174955477532393
uni_v2,0.910183040143195,0.9333307638508903,0.9499332008145764,0.9174955477532393,1.0
