model,nmse,r2,cosine
conch_v1,0.03707778818271084,0.9629222118172892,0.9880023557438641
ctranspath,0.16370559012671318,0.8362944098732868,0.9639677678697565
gigapath,0.5005492751417308,0.49945072485826925,0.7761596047257472
keep,0.20502952116824563,0.7949704788317544,0.9280008355789914
resnet50,0.12307904966226214,0.8769209503377379,0.986747778361185
uni_v2,0.5509183477077474,0.4490816522922526,0.7321944509246843
