query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.8104,0.7906,0.8066,0.79,0.7732,0.8068
ctranspath,0.786,0.8028,0.8046,0.7922,0.7788,0.805
gigapath,0.8088,0.8022,0.8292,0.8064,0.7988,0.8266
keep,0.8128,0.8014,0.822,0.8344,0.7798,0.824
resnet50,0.7616,0.7798,0.7876,0.764,0.7782,0.7838
uni_v2,0.818,0.8158,0.8316,0.8152,0.8012,0.8388
