query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.7806,0.7252,0.7634,0.748,0.695,0.7762
ctranspath,0.7346,0.7762,0.7706,0.7394,0.7358,0.7738
gigapath,0.7546,0.7646,0.8122,0.7646,0.7348,0.7974
keep,0.7554,0.7414,0.7796,0.8092,0.7104,0.7914
resnet50,0.6678,0.6852,0.713,0.693,0.7424,0.7144
uni_v2,0.7742,0.7744,0.8096,0.7862,0.7478,0.8314
