query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.8056,0.7882,0.8044,0.7952,0.7704,0.809
ctranspath,0.7818,0.7922,0.7924,0.7916,0.7702,0.8002
gigapath,0.8032,0.805,0.8122,0.81,0.7842,0.8166
keep,0.7984,0.7976,0.8204,0.8186,0.7744,0.8134
resnet50,0.741,0.7598,0.7552,0.7406,0.768,0.755
uni_v2,0.8162,0.8098,0.822,0.8164,0.7886,0.8378
