query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.7648,0.7094,0.7294,0.7292,0.646,0.7428
ctranspath,0.6954,0.7788,0.7386,0.7028,0.6978,0.7434
gigapath,0.7376,0.768,0.8242,0.7444,0.6968,0.7824
keep,0.7328,0.7268,0.7298,0.7934,0.6698,0.7472
resnet50,0.6062,0.6584,0.6386,0.6202,0.7054,0.6466
uni_v2,0.7446,0.7584,0.775,0.7486,0.6858,0.8334
