query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.7534,0.5032,0.5064,0.4584,0.4978,0.521
ctranspath,0.4872,0.759,0.5198,0.5004,0.4916,0.502
gigapath,0.502,0.5182,0.7722,0.4884,0.4768,0.5344
keep,0.4698,0.5062,0.5096,0.7778,0.5056,0.5038
resnet50,0.4788,0.5114,0.4982,0.5096,0.594,0.515
uni_v2,0.495,0.501,0.5182,0.5084,0.513,0.7832
