query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.7656,0.521,0.4844,0.527,0.5138,0.5214
ctranspath,0.5076,0.7778,0.503,0.4588,0.523,0.4706
gigapath,0.4874,0.5022,0.8238,0.5128,0.4862,0.4764
keep,0.508,0.474,0.519,0.7928,0.4894,0.441
resnet50,0.5254,0.5438,0.4964,0.4718,0.7046,0.5468
uni_v2,0.5424,0.4942,0.4834,0.4312,0.5236,0.8344
