query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.7962,0.7512,0.761,0.7638,0.7154,0.767
ctranspath,0.7466,0.7876,0.7688,0.748,0.734,0.7684
gigapath,0.763,0.7816,0.8148,0.7676,0.739,0.7842
keep,0.764,0.762,0.7686,0.8128,0.721,0.7728
resnet50,0.7002,0.7162,0.7056,0.7,0.755,0.709
uni_v2,0.78,0.7774,0.8018,0.7848,0.733,0.834
