query,ctranspath,gigapath,keep,resnet50,uni_v2
ctranspath,0.9982,0.5524,0.2804,0.6008,0.3828
gigapath,0.48,0.998,0.2474,0.181,0.461
keep,0.2184,0.2496,0.9982,0.0684,0.2688
resnet50,0.5192,0.1764,0.0658,0.9982,0.1154
uni_v2,0.2312,0.3726,0.1922,0.0878,0.9982
