query,ctranspath,gigapath,keep,resnet50,uni_v2
ctranspath,0.9986,0.9646,0.9328,0.9612,0.9768
gigapath,0.9636,0.9984,0.9314,0.9406,0.976
keep,0.943,0.9472,0.9984,0.8428,0.9772
resnet50,0.9502,0.9424,0.8318,0.9984,0.9308
uni_v2,0.9738,0.9772,0.9612,0.9236,0.9984
