query,ctranspath,gigapath,keep,resnet50,uni_v2
ctranspath,0.9986,0.7836,0.6558,0.7956,0.7244
gigapath,0.7418,0.9984,0.6146,0.526,0.8178
keep,0.6368,0.648,0.9984,0.3504,0.7146
resnet50,0.784,0.5308,0.335,0.9984,0.4294
uni_v2,0.6366,0.7686,0.6272,0.3984,0.9984
