query,ctranspath,gigapath,keep,resnet50,uni_v2
ctranspath,0.9986,0.0002,0.0004,0.0004,0.0002
gigapath,0.0002,0.9984,0.0004,0.0,0.0002
keep,0.0002,0.0,0.9984,0.0002,0.0004
resnet50,0.0002,0.0004,0.0004,0.9984,0.0002
uni_v2,0.0004,0.0,0.0004,0.0004,0.9984
