query,ctranspath,gigapath,keep,resnet50,uni_v2
ctranspath,0.9986,0.0002,0.0,0.0,0.0004
gigapath,0.0002,0.9984,0.0,0.0,0.0
keep,0.0006,0.0002,0.9984,0.0002,0.0
resnet50,0.0,0.0002,0.0006,0.9984,0.0
uni_v2,0.0004,0.0,0.0,0.0006,0.9984
