query,ctranspath,gigapath,keep,resnet50,uni_v2
ctranspath,0.9986,0.8672,0.5902,0.8502,0.851
gigapath,0.7878,0.9984,0.5948,0.6526,0.9002
keep,0.5258,0.6874,0.9984,0.3274,0.7442
resnet50,0.7914,0.7068,0.344,0.9984,0.6438
uni_v2,0.7534,0.9032,0.6556,0.5964,0.9984
