model_a,model_b,linear_cka,kernel_cka,svcca,pwcca,procrustes,cosine_rsa,distance_correlation
CTransPath,Prov-GigaPath,0.6847317615920905,0.7403667015451683,0.6799864484357137,0.7333050142172678,0.7063471238563268,0.7152201310846832,0.8632094212033528
CTransPath,KEEP,0.6648689064647509,0.6858009615115599,0.46945944443119897,0.5734941625845297,0.6581700264366858,0.6118746403007972,0.8310417354409141
CTransPath,ResNet50 (ImageNet),0.7726722637063788,0.7926847362762571,0.5009119642617628,0.6212372274937001,0.740896389444314,0.7516055667941725,0.8939494734248494
CTransPath,UNI2-h,0.725549393086134,0.7536671285407229,0.6822005656624858,0.7116744996699262,0.6502997287632364,0.6943263571815863,0.8713460355057216
Prov-GigaPath,KEEP,0.5678067834502522,0.6051810115332558,0.5780825558638111,0.6718837510382663,0.6052116134037132,0.5416445457977503,0.7788335364455874
Prov-GigaPath,ResNet50 (ImageNet),0.7079000696731764,0.7368113394815501,0.49460457684928927,0.607285661059894,0.6220875911561451,0.680235036516019,0.8597032002457037
Prov-GigaPath,UNI2-h,0.6887540589607644,0.7229402824093215,0.5100376379541409,0.6129110936702222,0.6874909202463984,0.6453329395133548,0.8505843753623821
KEEP,ResNet50 (ImageNet),0.5750682645194646,0.5865998441411923,0.37168588407248243,0.5245932809690542,0.5624428837177186,0.5317056258044379,0.7679661689532165
KEEP,UNI2-h,0.7805489073751276,0.8064329978642399,0.6265693831070472,0.6896390947032056,0.6413198037516025,0.7317226640085415,0.9010391929023572
ResNet50 (ImageNet),UNI2-h,0.6067592864630064,0.6291228919922266,0.49975365623348894,0.5802373140135137,0.5420042726062279,0.5771962916848973,0.7958486578769329
