,CTransPath,Prov-GigaPath,KEEP,ResNet50 (ImageNet),UNI2-h
CTransPath,0.9999999999999997,0.6799864484357137,0.46945944443119897,0.5009119642617628,0.6822005656624858
Prov-GigaPath,0.6799864484357137,0.9999999999999996,0.5780825558638111,0.49460457684928927,0.5100376379541409
KEEP,0.46945944443119897,0.5780825558638111,0.9999999999999997,0.37168588407248243,0.6265693831070472
ResNet50 (ImageNet),0.5009119642617628,0.49460457684928927,0.37168588407248243,0.9999999999999997,0.49975365623348894
UNI2-h,0.6822005656624858,0.5100376379541409,0.6265693831070472,0.49975365623348894,0.9999999999999997
