,CTransPath,Prov-GigaPath,KEEP,ResNet50 (ImageNet),UNI2-h
CTransPath,0.9999999999999998,0.7333050142172678,0.5734941625845297,0.6212372274937001,0.7116744996699262
Prov-GigaPath,0.7333050142172678,0.9999999999999997,0.6718837510382663,0.607285661059894,0.6129110936702222
KEEP,0.5734941625845297,0.6718837510382663,0.9999999999999996,0.5245932809690542,0.6896390947032056
ResNet50 (ImageNet),0.6212372274937001,0.607285661059894,0.5245932809690542,0.9999999999999997,0.5802373140135137
UNI2-h,0.7116744996699262,0.6129110936702222,0.6896390947032056,0.5802373140135137,0.9999999999999994
