query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
ctranspath,gigapath,0.915,0.9655,0.978,0.9377186402725458,1.0,2000.0
gigapath,ctranspath,0.912,0.975,0.9885,0.9395515755231875,1.0,2000.0
ctranspath,keep,0.7215,0.9195,0.963,0.8092883300139381,1.0,2000.0
keep,ctranspath,0.7115,0.918,0.9545,0.8029875634399448,1.0,2000.0
ctranspath,resnet50,0.852,0.9445,0.971,0.8955377523295094,1.0,2000.0
resnet50,ctranspath,0.834,0.959,0.979,0.8895743434317283,1.0,2000.0
ctranspath,uni_v2,0.917,0.986,0.996,0.9473082971225635,1.0,2000.0
uni_v2,ctranspath,0.8905,0.977,0.9875,0.9293681581396804,1.0,2000.0
gigapath,keep,0.7345,0.9185,0.956,0.8182753394728239,1.0,2000.0
keep,gigapath,0.7775,0.9395,0.9625,0.8488227834970522,1.0,2000.0
gigapath,resnet50,0.7665,0.9375,0.9645,0.842521118223601,1.0,2000.0
resnet50,gigapath,0.787,0.953,0.9745,0.8578708478288384,1.0,2000.0
gigapath,uni_v2,0.936,0.981,0.9915,0.9569686434317316,1.0,2000.0
uni_v2,gigapath,0.926,0.9745,0.9885,0.949016034396877,1.0,2000.0
keep,resnet50,0.458,0.753,0.847,0.5898942315059702,2.0,2000.0
resnet50,keep,0.443,0.743,0.8355,0.5789012952611033,2.0,2000.0
keep,uni_v2,0.866,0.9715,0.9905,0.913185053287759,1.0,2000.0
uni_v2,keep,0.813,0.962,0.984,0.8794451485877632,1.0,2000.0
resnet50,uni_v2,0.698,0.914,0.957,0.791226934598077,1.0,2000.0
uni_v2,resnet50,0.6675,0.897,0.943,0.76871110582265,1.0,2000.0
