,reconstruction_r2,reconstruction_cosine,alignment_error,paired_cosine,shared_cka,recall@1,recall@10,mrr,neighborhood_preservation,effective_rank,latent_dim
joint_pca,0.701066855671081,0.8888810880013525,0.07292831358035681,0.9158324443041543,0.9474140290977958,0.9435833333333334,0.9954833333333333,0.9644835063079447,0.5654750000000001,51.89420219594029,64.0
gcca,0.660142364895079,0.874151219454498,0.15833430469887994,0.8312193531013438,0.7299654688415795,0.9579166666666666,0.9983000000000001,0.9747327587823024,0.5105166666666666,63.665685036546115,64.0
mcca,0.7093101384332859,0.8933225290160284,0.3919786177778191,0.6598666115736815,0.48584260769598847,0.7588333333333334,0.9708833333333334,0.8385786186578745,0.5562166666666667,63.451807364648566,64.0
procrustes,0.7752709055340304,0.9135112051193395,0.40098344256157664,0.6586401636260817,0.6111288628893269,0.41765,0.7888499999999999,0.5433698531322101,0.8491500000000002,53.42980491426399,64.0
autoencoder,0.7524543069422375,0.9055067632944622,0.24086478258048066,0.765799763099867,0.8740779350532226,0.7024833333333333,0.9498833333333335,0.7930211536215135,0.6548916666666666,54.760608515474225,64.0
