source,target,cosine,r2
gpfm,hoptimus0,0.6312368319413262,0.297642512318115
gpfm,virchow,0.824346329994057,0.29743712426589264
gpfm,virchow2,0.7170618355776666,0.23777703246679638
hoptimus0,gpfm,0.6331485979666689,0.3087230987743286
hoptimus0,virchow,0.8224918256388308,0.29674327216767293
hoptimus0,virchow2,0.7332472266637239,0.2802065666508732
virchow,gpfm,0.6063864752575688,0.24079282244720368
virchow,hoptimus0,0.6058432916950139,0.2350486400719436
virchow,virchow2,0.7185809566572964,0.21111800986242057
virchow2,gpfm,0.5813283008358595,0.21153214625673555
virchow2,hoptimus0,0.5923929351485704,0.23598788528999748
virchow2,virchow,0.8048805023580048,0.22926235974401388
