,gpfm,hoptimus0,virchow,virchow2
gpfm,1.0,0.6720263550895968,0.6141035443576309,0.4221571966135743
hoptimus0,0.6720263550895968,1.0,0.49331924440279684,0.45103154809132007
virchow,0.6141035443576309,0.49331924440279684,1.0,0.3152185323903216
virchow2,0.4221571966135743,0.45103154809132007,0.3152185323903216,1.0
