query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
gpfm,hoptimus0,0.7435,0.9385,0.97,0.8294303885072603,1.0,2000.0
hoptimus0,gpfm,0.7305,0.8975,0.9365,0.8053770565872913,1.0,2000.0
gpfm,virchow,0.689,0.9085,0.948,0.7852055233799503,1.0,2000.0
virchow,gpfm,0.5655,0.8225,0.905,0.6827906545206307,1.0,2000.0
gpfm,virchow2,0.6035,0.867,0.926,0.7178004716495764,1.0,2000.0
virchow2,gpfm,0.661,0.9055,0.9575,0.7670212281990917,1.0,2000.0
hoptimus0,virchow,0.579,0.7705,0.8165,0.6673694017230238,1.0,2000.0
virchow,hoptimus0,0.5295,0.7895,0.863,0.6454445163252384,1.0,2000.0
hoptimus0,virchow2,0.482,0.7385,0.826,0.5992146489496891,2.0,2000.0
virchow2,hoptimus0,0.6095,0.862,0.9145,0.7212532966485222,1.0,2000.0
virchow,virchow2,0.435,0.695,0.794,0.5520393329650882,2.0,2000.0
virchow2,virchow,0.5325,0.7835,0.8525,0.6445206738926822,1.0,2000.0
