,GPFM,H-optimus-0,Virchow2
GPFM,1.0,0.7559567990544886,0.6997756879703028
H-optimus-0,0.7559567990544886,0.9999999999999998,0.6436497313130285
Virchow2,0.6997756879703028,0.6436497313130285,1.0
