,GPFM,H-optimus-0,Virchow2
GPFM,1.0,0.7829916864249918,0.5423433173497353
H-optimus-0,0.7829916864249918,1.0,0.45552434471879016
Virchow2,0.5423433173497353,0.45552434471879016,1.0
