,GPFM,H-optimus-0,Virchow2
GPFM,1.0,0.8857384060908383,0.735778257924551
H-optimus-0,0.8857384060908383,1.0,0.6741450775046829
Virchow2,0.735778257924551,0.6741450775046829,1.0
