,gpfm,hoptimus0,virchow2
gpfm,1.0,0.7067123470487714,0.7149231628441933
hoptimus0,0.7067123470487714,1.0,0.6303491371269151
virchow2,0.7149231628441933,0.6303491371269151,1.0
