,ctranspath,gigapath,keep,resnet50,uni_v2
ctranspath,1.0,0.9597520133185243,0.9328083345506452,0.947293190315309,0.9594246767060757
gigapath,0.9597520133185243,1.0,0.9406077701364931,0.9358536313031411,0.9705426293965405
keep,0.9328083345506452,0.9406077701364931,1.0,0.8992612060472098,0.9489862310117895
resnet50,0.947293190315309,0.9358536313031411,0.8992612060472098,1.0,0.9309470259005871
uni_v2,0.9594246767060757,0.9705426293965405,0.9489862310117895,0.9309470259005871,1.0
