,ctranspath,gigapath,keep,resnet50,uni_v2
ctranspath,1.0,0.9317502054803732,0.8967258805662983,0.9124059951200237,0.9313847712757688
gigapath,0.9317502054803732,1.0,0.9123283066300192,0.8938480803642691,0.9532211523612124
keep,0.8967258805662983,0.9123283066300192,1.0,0.8466348281187979,0.9260734850278859
resnet50,0.9124059951200237,0.8938480803642691,0.8466348281187979,1.0,0.8866351585020987
uni_v2,0.9313847712757688,0.9532211523612124,0.9260734850278859,0.8866351585020987,1.0
