,encoder_r2,loading_mass
ctranspath,0.9119960735341373,0.2424281885388414
gigapath,0.9295234686542458,0.16361187223188645
keep,0.9075767416972205,0.25285113835123907
resnet50,0.836263473151698,0.18019382938541487
uni_v2,0.9371262688107433,0.1609149714926184
