,encoder_r2,loading_mass
conch_v1,0.9126367710918951,0.18923949312565602
ctranspath,0.916091555332759,0.20280129409782544
gigapath,0.9334689591091103,0.140501944177902
keep,0.9121783688076753,0.17943114460355983
resnet50,0.8231204026616892,0.1568357328910861
uni_v2,0.9433433075359712,0.1311903911039705
