source,gpfm,hoptimus0,virchow,virchow2
gpfm,0.7086080503902827,0.5725547848944011,0.8383718141905233,0.7490417624187281
hoptimus0,0.6143566924762595,0.6478934782899698,0.8496859810015861,0.7706967675099877
virchow,0.6115479288222768,0.5882171382796227,0.9019199555880463,0.7735569455816371
virchow2,0.6125960130820736,0.5881913569790836,0.8503858208913205,0.8759032892828692
