query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
gpfm,hoptimus0,0.946,0.992,0.9985,0.9659047575365428,1.0,2000.0
hoptimus0,gpfm,0.944,0.982,0.994,0.9621023136585637,1.0,2000.0
gpfm,virchow,0.952,0.9925,0.997,0.9696337445887445,1.0,2000.0
virchow,gpfm,0.941,0.9895,0.995,0.9634217277820218,1.0,2000.0
gpfm,virchow2,0.975,0.997,0.999,0.9845130952380953,1.0,2000.0
virchow2,gpfm,0.9645,0.9945,0.9975,0.9778980339105339,1.0,2000.0
hoptimus0,virchow,0.9365,0.9865,0.9945,0.9596816622725033,1.0,2000.0
virchow,hoptimus0,0.9285,0.9855,0.9935,0.9541846718254225,1.0,2000.0
hoptimus0,virchow2,0.954,0.9905,0.996,0.9697920586309818,1.0,2000.0
virchow2,hoptimus0,0.9445,0.988,0.9935,0.9640403965147172,1.0,2000.0
virchow,virchow2,0.9675,0.995,0.9975,0.9782909678041258,1.0,2000.0
virchow2,virchow,0.9655,0.9935,0.9975,0.9781342983405483,1.0,2000.0
