model,nmse,r2,cosine
gpfm,0.5549093320533022,0.4450906679466978,0.6842906179992415
hoptimus0,0.6161931700888365,0.38380682991116355,0.6460462208422377
virchow,0.3773574723322812,0.6226425276677188,0.884156754764733
virchow2,0.4125451026554976,0.5874548973445024,0.8269067325455238
