,encoder_r2,loading_mass
conch_v1,0.9135195628324788,0.19242223203826883
ctranspath,0.9149739090661739,0.20061967564318547
gigapath,0.935224167836554,0.14165074504272204
keep,0.9130143596265403,0.18572355389792533
resnet50,0.8124433648164022,0.14857277458962118
uni_v2,0.9432470674561797,0.13101101878827726
