,gpfm,hoptimus0,virchow2
gpfm,1.0,0.8606017917741127,0.8719476423349077
hoptimus0,0.8606017917741127,1.0,0.8375040444616739
virchow2,0.8719476423349077,0.8375040444616739,1.0
