,gpfm,hoptimus0,virchow2
gpfm,1.0,0.9128148815391884,0.9125288430992844
hoptimus0,0.9128148815391884,1.0,0.8865941489894155
virchow2,0.9125288430992844,0.8865941489894155,1.0
