,GPFM,H-optimus-0,Virchow2
GPFM,1.0,0.9033624416774,0.6579382897986106
H-optimus-0,0.9033624416774,1.0,0.6551827699005435
Virchow2,0.6579382897986106,0.6551827699005435,1.0
