,GPFM,H-optimus-0,Virchow2
GPFM,1.0,0.8166059702972502,0.4365189656276831
H-optimus-0,0.8166059702972502,1.0,0.43366882112586386
Virchow2,0.4365189656276831,0.43366882112586386,1.0
