,linear_cka,kernel_cka,svcca,pwcca,procrustes,cosine_rsa,distance_correlation
linear_cka,1.0,0.5,-0.5,-1.0,0.5,1.0,0.5
kernel_cka,0.5,1.0,0.5,-0.5,1.0,0.5,1.0
svcca,-0.5,0.5,1.0,0.5,0.5,-0.5,0.5
pwcca,-1.0,-0.5,0.5,1.0,-0.5,-1.0,-0.5
procrustes,0.5,1.0,0.5,-0.5,1.0,0.5,1.0
cosine_rsa,1.0,0.5,-0.5,-1.0,0.5,1.0,0.5
distance_correlation,0.5,1.0,0.5,-0.5,1.0,0.5,1.0
