,GPFM,H-optimus-0,Virchow2
GPFM,0.9999999999999996,0.7340440110199897,0.8236977073607639
H-optimus-0,0.7340440110199897,0.9999999999999996,0.7632734558123389
Virchow2,0.8236977073607639,0.7632734558123389,0.9999999999999999
