model,nmse,r2,cosine
conch_v1,0.18906451407459182,0.8109354859254082,0.937525048074807
ctranspath,0.20606581896681092,0.793934181033189,0.9545056963651144
gigapath,0.5709145169230035,0.42908548307699645,0.7432483097371515
keep,0.3905099947257318,0.6094900052742682,0.8575916660342984
resnet50,0.1747525427841408,0.8252474572158592,0.981293989924265
uni_v2,0.6152935453516643,0.38470645464833575,0.6979389128659018
