magnification,metric,model_a,model_b,pair,similarity
5.0,cosine_rsa,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.4943258026796071
5.0,cosine_rsa,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.5630245226095855
5.0,cosine_rsa,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.644573105937072
5.0,cosine_rsa,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.399176546537758
5.0,cosine_rsa,KEEP,UNI2-h,KEEP~UNI2-h,0.7260230291156061
5.0,cosine_rsa,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.43458269631070856
5.0,distance_correlation,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.8346131163269329
5.0,distance_correlation,CTransPath,KEEP,CTransPath~KEEP,0.7807058404517152
5.0,distance_correlation,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.8487341156792618
5.0,distance_correlation,CTransPath,UNI2-h,CTransPath~UNI2-h,0.83500672612746
5.0,distance_correlation,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.7459048679389165
5.0,distance_correlation,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.7901946547241393
5.0,distance_correlation,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.8356478279912726
5.0,distance_correlation,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.6490056451679084
5.0,distance_correlation,KEEP,UNI2-h,KEEP~UNI2-h,0.8892103888088934
5.0,distance_correlation,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.6937790004718829
10.0,linear_cka,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.6709377920218786
10.0,linear_cka,CTransPath,KEEP,CTransPath~KEEP,0.5791303124464086
10.0,linear_cka,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.5956214931233683
10.0,linear_cka,CTransPath,UNI2-h,CTransPath~UNI2-h,0.6382111639667915
10.0,linear_cka,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.5888218193889888
10.0,linear_cka,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.4500705964012026
10.0,linear_cka,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.7541568496407043
10.0,linear_cka,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.39279489796833505
10.0,linear_cka,KEEP,UNI2-h,KEEP~UNI2-h,0.7377908962601502
10.0,linear_cka,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.40056063479101317
10.0,kernel_cka,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.6947218038189943
10.0,kernel_cka,CTransPath,KEEP,CTransPath~KEEP,0.6045290445365447
10.0,kernel_cka,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.6577855096759124
10.0,kernel_cka,CTransPath,UNI2-h,CTransPath~UNI2-h,0.6694002254984553
10.0,kernel_cka,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.6029825778195296
10.0,kernel_cka,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.4848317541414119
10.0,kernel_cka,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.7692043854804325
10.0,kernel_cka,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.40921661562677825
10.0,kernel_cka,KEEP,UNI2-h,KEEP~UNI2-h,0.7551040534667194
10.0,kernel_cka,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.4303231285828181
10.0,svcca,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.6331988652277643
10.0,svcca,CTransPath,KEEP,CTransPath~KEEP,0.43670786391697936
10.0,svcca,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.47806221986205943
10.0,svcca,CTransPath,UNI2-h,CTransPath~UNI2-h,0.6480665362230015
10.0,svcca,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.5836947479959124
10.0,svcca,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.49037229462376075
10.0,svcca,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.5005643504348551
10.0,svcca,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.37208806861428356
10.0,svcca,KEEP,UNI2-h,KEEP~UNI2-h,0.6212117565522927
10.0,svcca,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.4984778055944524
10.0,pwcca,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.6982996141879136
10.0,pwcca,CTransPath,KEEP,CTransPath~KEEP,0.5589505020842216
10.0,pwcca,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.6128322796508445
10.0,pwcca,CTransPath,UNI2-h,CTransPath~UNI2-h,0.697211241024582
10.0,pwcca,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.666441110159391
10.0,pwcca,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.5953094152922069
10.0,pwcca,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.6115967657676135
10.0,pwcca,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.5222331680273982
10.0,pwcca,KEEP,UNI2-h,KEEP~UNI2-h,0.6853367070351901
10.0,pwcca,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.5830910995368856
10.0,procrustes,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.6487190791275562
10.0,procrustes,CTransPath,KEEP,CTransPath~KEEP,0.6320117251985489
