magnification,method,reconstruction_r2,reconstruction_cosine,alignment_error,paired_cosine,shared_cka,recall@1,recall@10,mrr,neighborhood_preservation,effective_rank,latent_dim
5.0,joint_pca,0.6940438076668117,0.9029071434537222,0.067785164785225,0.9172223557594791,0.9522339484154354,0.9463750000000001,0.9958500000000001,0.9658076260457367,0.5689799999999999,52.49328906837868,64.0
5.0,gcca,0.6453448853587782,0.8863090680358379,0.1331390588522045,0.8476695419182969,0.7517338735183271,0.9650750000000002,0.998875,0.9790046033906397,0.5042899999999999,63.77983661337373,64.0
5.0,mcca,0.6996259029785816,0.9052190625991814,0.3440610975850208,0.6771378014924033,0.5069420871377562,0.7939499999999999,0.9759000000000002,0.8620458415080152,0.56518,63.5300554446762,64.0
5.0,procrustes,0.7583032890124429,0.9215898019392966,0.3580254268255605,0.6716944154762611,0.6023067996583201,0.492825,0.813375,0.6038240467801355,0.8380300000000002,54.06073747515286,64.0
5.0,autoencoder,0.74143338214464,0.9168791248548013,0.17033224794821267,0.8126930489674864,0.9222931066347495,0.8106249999999999,0.975475,0.8722061392683521,0.6365700000000001,54.10893418181363,64.0
10.0,joint_pca,0.6650088331142157,0.8727167538526727,0.06841208231381708,0.9167106098547478,0.9477257905881837,0.9484250000000001,0.995575,0.9670829504775542,0.56591,52.86799873556021,64.0
10.0,gcca,0.6176362267893125,0.8542688363851468,0.1309541132259605,0.8482867095735749,0.7549561544047433,0.9636000000000001,0.9988000000000001,0.977764503170591,0.50524,63.79173326580519,64.0
10.0,mcca,0.6738895452186433,0.8774431482128344,0.3530164799776771,0.6699668881559196,0.49954290057887424,0.7687750000000001,0.9714500000000001,0.8448665946856886,0.57263,63.53552949278029,64.0
10.0,procrustes,0.7317483574480285,0.8954268168909987,0.38049362145231697,0.6562631364562659,0.5792726823646747,0.443825,0.792225,0.5634227921271742,0.8219200000000001,54.5683987335377,64.0
10.0,autoencoder,0.7105619136949041,0.8884785596880984,0.18928411492878017,0.7961762650306243,0.8931243856612443,0.7784,0.9691749999999999,0.8496895467364076,0.6418799999999999,54.8507941979869,64.0
20.0,joint_pca,0.6347549826802636,0.8462065391606224,0.07517904232255813,0.9088218735646775,0.9402249693717103,0.94535,0.99375,0.9641483612634616,0.55554,53.24723854792849,64.0
20.0,gcca,0.5857294123786149,0.8259172525935871,0.13737578677501386,0.8418589585726999,0.7450993299263421,0.9606750000000002,0.9972249999999999,0.9747831774736229,0.4977499999999999,63.792761833733984,64.0
20.0,mcca,0.6467538431515688,0.852907559582647,0.38600444395073497,0.6470743198768564,0.47322972827375037,0.73155,0.9609000000000002,0.8159003735376018,0.5719700000000001,63.47319691138502,64.0
20.0,procrustes,0.7048312282353897,0.8723448290818018,0.4333847183707134,0.6241787656737793,0.5358002341292655,0.40295000000000003,0.7758250000000001,0.5278924770508147,0.8083899999999999,55.15209225500706,64.0
20.0,autoencoder,0.6801949362308057,0.8633116977101436,0.2189300370439289,0.7684858610362698,0.8620851199514725,0.7442249999999999,0.9594750000000001,0.8234636306240599,0.63693,55.46237464992945,64.0
