query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
ctranspath,gigapath,0.972,0.9945,0.997,0.9823966720779221,1.0,2000.0
gigapath,ctranspath,0.9745,0.994,0.997,0.9828857198357198,1.0,2000.0
ctranspath,keep,0.9585,0.9935,0.9985,0.9746983444695402,1.0,2000.0
keep,ctranspath,0.977,0.999,0.9995,0.9863656862745099,1.0,2000.0
ctranspath,resnet50,0.968,0.998,0.999,0.9814561507936508,1.0,2000.0
resnet50,ctranspath,0.952,0.996,0.998,0.9703590964590965,1.0,2000.0
ctranspath,uni_v2,0.9905,0.9995,1.0,0.9946666666666667,1.0,2000.0
uni_v2,ctranspath,0.991,1.0,1.0,0.9951666666666666,1.0,2000.0
gigapath,keep,0.9385,0.9765,0.986,0.9558715607457586,1.0,2000.0
keep,gigapath,0.9535,0.988,0.9945,0.9693451426518646,1.0,2000.0
gigapath,resnet50,0.952,0.992,0.996,0.9693527694012214,1.0,2000.0
resnet50,gigapath,0.9295,0.984,0.993,0.9545361216932908,1.0,2000.0
gigapath,uni_v2,0.979,0.995,0.9975,0.985443483358429,1.0,2000.0
uni_v2,gigapath,0.9805,0.995,0.998,0.9870466450216451,1.0,2000.0
keep,resnet50,0.8755,0.974,0.988,0.9198030156530701,1.0,2000.0
resnet50,keep,0.8205,0.9415,0.9725,0.8736979295125126,1.0,2000.0
keep,uni_v2,0.9855,0.999,1.0,0.9916011904761904,1.0,2000.0
uni_v2,keep,0.975,0.996,0.9995,0.9850074404761905,1.0,2000.0
resnet50,uni_v2,0.922,0.9855,0.9935,0.9497675169621181,1.0,2000.0
uni_v2,resnet50,0.943,0.992,0.9985,0.9657520502645502,1.0,2000.0
