,ctranspath,gigapath,keep,resnet50,uni_v2
ctranspath,1.0,0.9782347541748069,0.956464897623635,0.9640724933675423,0.9759478434649688
gigapath,0.9782347541748069,1.0,0.9561711174952146,0.9544911876352832,0.9791885632924341
keep,0.956464897623635,0.9561711174952146,1.0,0.9277215922926738,0.9645149593993392
resnet50,0.9640724933675423,0.9544911876352832,0.9277215922926738,1.0,0.9486138104081344
uni_v2,0.9759478434649688,0.9791885632924341,0.9645149593993392,0.9486138104081344,1.0
