,encoder_r2,loading_mass
ctranspath,0.9343674253968911,0.2402293104380993
gigapath,0.9437258167640679,0.17928475276873762
keep,0.9183709127359984,0.24440735083991072
resnet50,0.8431164820228086,0.17340779330360045
uni_v2,0.9479964091774506,0.16267079264965184
